conversation_id,created_at,favorite_count,full_text,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,id,is_quote_tweet,media/0/media_url,media/0/type,media/1/media_url,media/1/type,media/2/media_url,media/2/type,media/3/media_url,media/3/type,quoted_tweet/#sort_index,quoted_tweet/conversation_id,quoted_tweet/created_at,quoted_tweet/favorite_count,quoted_tweet/full_text,quoted_tweet/hashtags/0,quoted_tweet/hashtags/1,quoted_tweet/hashtags/2,quoted_tweet/id,quoted_tweet/is_quote_tweet,quoted_tweet/media/0/media_url,quoted_tweet/media/0/type,quoted_tweet/media/1/media_url,quoted_tweet/media/1/type,quoted_tweet/media/2/media_url,quoted_tweet/media/2/type,quoted_tweet/media/3/media_url,quoted_tweet/media/3/type,quoted_tweet/reply_count,quoted_tweet/replying_to_tweet,quoted_tweet/retweet_count,quoted_tweet/url,quoted_tweet/urls/0/display_url,quoted_tweet/urls/0/expanded_url,quoted_tweet/urls/0/url,quoted_tweet/user_mentions/0/id_str,quoted_tweet/user_mentions/0/name,quoted_tweet/user_mentions/0/screen_name,quoted_tweet/user_mentions/1/id_str,quoted_tweet/user_mentions/1/name,quoted_tweet/user_mentions/1/screen_name,quoted_tweet/user_mentions/2/id_str,quoted_tweet/user_mentions/2/name,quoted_tweet/user_mentions/2/screen_name,quoted_tweet/user_mentions/3/id_str,quoted_tweet/user_mentions/3/name,quoted_tweet/user_mentions/3/screen_name,quoted_tweet/user_mentions/4/id_str,quoted_tweet/user_mentions/4/name,quoted_tweet/user_mentions/4/screen_name,quoted_tweet/user_mentions/5/id_str,quoted_tweet/user_mentions/5/name,quoted_tweet/user_mentions/5/screen_name,quoted_tweet/user_mentions/6/id_str,quoted_tweet/user_mentions/6/name,quoted_tweet/user_mentions/6/screen_name,quoted_tweet/user_mentions/7/id_str,quoted_tweet/user_mentions/7/name,quoted_tweet/user_mentions/7/screen_name,quoted_tweet/view_count,reply_count,replying_to_tweet,retweet_count,startUrl,symbols/0,url,urls/0/display_url,urls/0/expanded_url,urls/0/url,urls/1/display_url,urls/1/expanded_url,urls/1/url,user_mentions/0/id_str,user_mentions/0/name,user_mentions/0/screen_name,user_mentions/1/id_str,user_mentions/1/name,user_mentions/1/screen_name,user_mentions/2/id_str,user_mentions/2/name,user_mentions/2/screen_name,user_mentions/3/id_str,user_mentions/3/name,user_mentions/3/screen_name,user_mentions/4/id_str,user_mentions/4/name,user_mentions/4/screen_name,user_mentions/5/id_str,user_mentions/5/name,user_mentions/5/screen_name,user_mentions/6/id_str,user_mentions/6/name,user_mentions/6/screen_name,user_mentions/7/id_str,user_mentions/7/name,user_mentions/7/screen_name,view_count
1.64069E+18,2023-03-28T12:37:39.000Z,0,"...

Both Avengers Endgame and Fnaf 3 take place in the same year

Which is the current year of 2023",,,,,,,,,,,,,,,,,,,1.64069E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/Cosmic_Ambience/status/1640694642092961792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1.64069E+18,2023-03-28T12:21:17.000Z,0,"Avengers: Endgame (2019) - Leer 432 Críticas de Películas 
Enlace: https://t.co/5MBDdnwLKD 
#AvengersEndgame #PeliCritica",AvengersEndgame,PeliCritica,,,,,,,,,,,,,,,,,1.64069E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/CinafilmEspanol/status/1640690520161767425,cinafilm.com/1030944631,https://cinafilm.com/1030944631,https://t.co/5MBDdnwLKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1.64069E+18,2023-03-28T12:15:52.000Z,1,"Yo lo abandoné después de avengers endgame, ya que teníamos el mismo problema, el ritmo y los chiste hasta ridiculizar algunos personajes principales como hulk, fue un buen momento para dejar de ser fan de los super heroes después de la liga de la justicia de Zack Snyder…",,,,,,,,,,,,,,,,,,,1.64069E+18,TRUE,,,,,,,,,1.64039E+18,1.64039E+18,2023-03-27T16:24:50.000Z,2386,"Y ustedes, ¿desde cuándo que no ven una película de Marvel? Yo abandoné después de Thor 4.",,,,1.64039E+18,FALSE,,,,,,,,,664,,55,https://twitter.com/ZowlOficial/status/1640389423220105216,,,,,,,,,,,,,,,,,,,,,,,,,,,,73886,0,,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/ElVagabund0_0/status/1640689159734976518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
1.64069E+18,2023-03-28T12:00:30.000Z,0,"Personne ne pourra battre le record de durée établie avec Avengers: Endgame, PERSONNE ! 😌",,,,,,,,,,,,,,,,,,,1.64069E+18,TRUE,,,,,,,,,1.64035E+18,1.64035E+18,2023-03-27T14:05:00.000Z,246,"Les Gardiens de la Galaxie Vol. 3 sera l'un des plus longs films du MCU ! 

Il devrait durer 2h29, ce qui le placerait 4ᵉ derrière Avengers: Endgame (3h02), Black Panther: Wakanda Forever (2h41) et Les Éternels (2h37). https://t.co/bvjSSP8GlF",,,,1.64035E+18,FALSE,https://pbs.twimg.com/media/FsN3kmxWcAACFJ1.png,photo,https://pbs.twimg.com/media/FsN3mP_WwAAsXB6.jpg,photo,https://pbs.twimg.com/media/FsN3n29WIAEhGdb.jpg,photo,,,6,,31,https://twitter.com/allocine/status/1640354233764462592,,,,,,,,,,,,,,,,,,,,,,,,,,,,21792,0,,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/SpaceTimerFunky/status/1640685289885638657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1.64065E+18,2023-03-28T11:59:36.000Z,0,@ChronikFiction Avengers endgame pourrai correspondre je pense,,,,,,,,,,,,,,,,,,,1.64069E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://twitter.com/ChronikFiction/status/1640652124957671424,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/nadir13016/status/1640685066144686080,,,,,,,1.01636E+18,Chronik Fiction,ChronikFiction,,,,,,,,,,,,,,,,,,,,,,169
1.64067E+18,2023-03-28T11:44:46.000Z,1,"@Cinderstar48 My favorite Marvel movie is Top 5 :)

1. Avengers: endgame 

2. Avengers: infinity war

3. Guardians of the galaxy 1,2

4. Thor: ragnarok 

5. Spiderman: no way home",,,,,,,,,,,,,,,,,,,1.64068E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://twitter.com/Cinderstar48/status/1640680174218870788,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/huibi_hoo/status/1640681330525745152,,,,,,,1.47196E+18,Cinder Star Studio,Cinderstar48,,,,,,,,,,,,,,,,,,,,,,40
1.64068E+18,2023-03-28T11:39:02.000Z,5,Avengers Infinity War &gt;&gt;Avengers Endgame,,,,,,,,,,,,,,,,,,,1.64068E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/Ryandontnut/status/1640679886787338240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166
1.64039E+18,2023-03-28T11:19:35.000Z,0,"@ZowlOficial La última fué Avengers endgame, tras ver lo que hicieron con Thor, supe que no vería ninguna más.",,,,,,,,,,,,,,,,,,,1.64067E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://twitter.com/ZowlOficial/status/1640389423220105216,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/MiraSiMeImporta/status/1640674994903449600,,,,,,,1.11606E+18,Lord Zowl,ZowlOficial,,,,,,,,,,,,,,,,,,,,,,4
1.64066E+18,2023-03-28T10:22:32.000Z,2,"Avengers endgame movie poster

#Avengers #endgame #AIArtworks https://t.co/LfnBlh9u8f",Avengers,endgame,AIArtworks,,,,,,,,,,,,,,,,1.64066E+18,FALSE,https://pbs.twimg.com/media/FsTMI7jaYAAqLB7.jpg,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/awfulaiimages/status/1640660637155209216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
1.64062E+18,2023-03-28T09:55:41.000Z,0,@anafcbvr Avengers: endgame 😭😩❤️,,,,,,,,,,,,,,,,,,,1.64065E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://twitter.com/anafcbvr/status/1640636113076490240,0,https://twitter.com/search?q=Avengers%3A%20Endgame&src=typed_query&f=live,,https://twitter.com/Taemeenbangtan/status/1640653879422468098,,,,,,,1.56784E+18,ana⁷,anafcbvr,,,,,,,,,,,,,,,,,,,,,,7
