conversation_id,created_at,favorite_count,full_text,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,id,is_quote_tweet,media/0/media_url,media/0/type,media/1/media_url,media/1/type,media/2/media_url,media/2/type,media/3/media_url,media/3/type,quoted_tweet/#sort_index,quoted_tweet/conversation_id,quoted_tweet/created_at,quoted_tweet/favorite_count,quoted_tweet/full_text,quoted_tweet/hashtags/0,quoted_tweet/hashtags/1,quoted_tweet/hashtags/2,quoted_tweet/id,quoted_tweet/is_quote_tweet,quoted_tweet/media/0/media_url,quoted_tweet/media/0/type,quoted_tweet/media/1/media_url,quoted_tweet/media/1/type,quoted_tweet/reply_count,quoted_tweet/replying_to_tweet,quoted_tweet/retweet_count,quoted_tweet/url,quoted_tweet/urls/0/display_url,quoted_tweet/urls/0/expanded_url,quoted_tweet/urls/0/url,quoted_tweet/user_mentions/0/id_str,quoted_tweet/user_mentions/0/name,quoted_tweet/user_mentions/0/screen_name,quoted_tweet/view_count,reply_count,replying_to_tweet,retweet_count,startUrl,url,urls/0/display_url,urls/0/expanded_url,urls/0/url,urls/1/display_url,urls/1/expanded_url,urls/1/url,urls/2/display_url,urls/2/expanded_url,urls/2/url,user_mentions/0/id_str,user_mentions/0/name,user_mentions/0/screen_name,user_mentions/1/id_str,user_mentions/1/name,user_mentions/1/screen_name,user_mentions/2/id_str,user_mentions/2/name,user_mentions/2/screen_name,user_mentions/3/id_str,user_mentions/3/name,user_mentions/3/screen_name,user_mentions/4/id_str,user_mentions/4/name,user_mentions/4/screen_name,user_mentions/5/id_str,user_mentions/5/name,user_mentions/5/screen_name,user_mentions/6/id_str,user_mentions/6/name,user_mentions/6/screen_name,view_count
1.64078E+18,2023-03-28T18:28:14.000Z,134,"Ryan Coogler is going to 'remount 'The X-Files' with a diverse cast,' according to creator Chris Carter

(via @CBCGloria | https://t.co/hELiWDJ1p8) https://t.co/cAyR1UAYgq",,,,,,,,,,,,,,,,,,,,,1.64078E+18,FALSE,https://pbs.twimg.com/media/FsU2IQUaYAErTUR.jpg,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,22,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/getFANDOM/status/1640782868694855680,bit.ly/3KcjVYT,http://bit.ly/3KcjVYT,https://t.co/hELiWDJ1p8,,,,,,,596843325,Gloria Macarenko,CBCGloria,,,,,,,,,,,,,,,,,,,21592
1.64078E+18,2023-03-28T18:10:41.000Z,14,C'est quoi le film le plus nul que vous avez vu ?,,,,,,,,,,,,,,,,,,,,,1.64078E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/foufou9317/status/1640778452008685568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21111
1.64078E+18,2023-03-28T18:05:03.000Z,44,Breaking! 🚨 #CaptainAmerica: New World Order set photos reveal the first look at Liv Tyler's #MCU return as #BettyRoss while filming a possible funeral scene. 👀 https://t.co/VrYnCNL8fd,CaptainAmerica,MCU,BettyRoss,,,,,,,,,,,,,,,,,,1.64078E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,11,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/screenrant/status/1640777031292952584,screenrant.com/captain-americ…,https://screenrant.com/captain-america-4-set-photos-liv-tyler-funeral/?taid=64232c4fdc8e300001aa03cd&utm_campaign=TrueAnthem-SR&utm_medium=Social-Distribution&utm_source=Twitter,https://t.co/VrYnCNL8fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820
1.64068E+18,2023-03-28T11:37:33.000Z,15619,"People saw Avatar, RRR and Top Gun in one year and said “oh damn we could’ve been eating steak this whole time?”",,,,,,,,,,,,,,,,,,,,,1.64068E+18,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,1388,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/BrndnStrssng/status/1640679515054649345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301822
1.64053E+18,2023-03-28T01:46:45.000Z,1278,This is just insecurity on another level. https://t.co/JSS9hcAZ4x,,,,,,,,,,,,,,,,,,,,,1.64053E+18,FALSE,https://pbs.twimg.com/media/FsRWFOsWIAAnVzy.jpg,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,78,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/ThorburnThomas2/status/1640530836100468737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28793
1.64042E+18,2023-03-27T18:43:54.000Z,22724,Who the fuck pays to see a film in imax just to talk the whole way through god fucking damnit,,,,,,,,,,,,,,,,,,,,,1.64042E+18,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,812,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/Av3rage_Us3r/status/1640424421146910720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787975
1.64079E+18,2023-03-28T18:54:47.000Z,0,If you’re not familiar with Ludwig..he produced the score for both Black Panther movies (which earned him an Oscar) and the Mandalorian. Also that ciara’s song and Tessa’s sound nothing alike,,,,,,,,,,,,,,,,,,,,,1.64079E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://twitter.com/yetunde_isidro/status/1640788901680783363,0,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/yetunde_isidro/status/1640789547792363525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
1.64079E+18,2023-03-28T18:53:42.000Z,7,"#XFiles bientôt rebooté par #RyanCoogler (Creed, Black Panther- avec un cast différent ? C'est ce qu'annonce Chris Carter, le papa de Fox Mulder et Dana Scully.
""Le monde est tellement engrené dans les conspirations que cela sera sûrement très différent"" précise Chris Carter. https://t.co/QdVkrViRUP",XFiles,RyanCoogler,,,,,,,,,,,,,,,,,,,1.64079E+18,FALSE,https://pbs.twimg.com/media/FsVA-msWIBEDTVh.jpg,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/FilmsActu/status/1640789275687153665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550
1.64047E+18,2023-03-28T18:53:24.000Z,1,"@eye_moisturizer It's always historical people, Black Panther (which already exists! WE COULDN'T EVEN KEEP IT BLACK!) or Blade literally proving the point.

Meanwhile the list of White folks cast as non-Whites is endless and bleeds into reality as no nigga has ever been able to pull a Dolezal 😑",,,,,,,,,,,,,,,,,,,,,1.64079E+18,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://twitter.com/eye_moisturizer/status/1640469080472961026,0,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/TheDynastQueen/status/1640789200512376832,,,,,,,,,,9.21974E+17,Eye🔞 | COMMS CLOSED | SUPPORT VIA KO-FI IN BIO!!,eye_moisturizer,,,,,,,,,,,,,,,,,,,8
1.64079E+18,2023-03-28T18:52:15.000Z,2,The Black Panther Films are the Dark Knight trilogy of the MCU.,,,,,,,,,,,,,,,,,,,,,1.64079E+18,TRUE,,,,,,,,,1.63706E+18,1.63706E+18,2023-03-18T12:04:00.000Z,1273,Ryan Coogler talks about Christopher Nolan in a podcast with Kevin Hart https://t.co/1Ya4KARd1b,,,,1.63706E+18,FALSE,https://pbs.twimg.com/ext_tw_video_thumb/1636869767465246722/pu/img/bNJSAMC7BJ0FglIN.jpg,photo,,,15,,183,https://twitter.com/NolanAnalyst/status/1637062292264329218,,,,,,,140740,1,,0,https://twitter.com/search?q=Black%20Panther&src=typed_query&f=live,https://twitter.com/ShaiheimN/status/1640788910153277471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
